,Title,Star_1,Star_2,Star_3,Star_4,Genre_1,Genre_2,Genre_3,Release Year,IMDb Rating,Director_Name,Runtime
132,Nine Perfect Strangers,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,unknown,unknown
133,Perfect Sense,Ewan McGregor, Eva Green, Ewen Bremner, Stephen Dillane,Drama, Sci-Fi, Romance,2011.0,6.9,David Mackenzie,93.0
134,Perfect Strangers,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,unknown,unknown
135,Hulk,Eric Bana, Jennifer Connelly, Sam Elliott, Josh Lucas,Action, Sci-Fi, Superhero,2003.0,5.5,Artist W. Robinson,138.0
136,The Incredible Hulk,Edward Norton, Liv Tyler, Tim Roth, William Hurt,Sci-Fi, Action, Adventure,2008.0,6.206,Louis Leterrier,114.0
138,The Incredible Hulk,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,unknown,unknown
139,Hulk Vs.,Fred Tatasciore, Matthew Wolf, Grey DeLisle, Kari Wahlgren,Sci-Fi, Animation, Action,2009.0,6.6,Frank Paur,78.0
147,Nuvvu Thopu Raa,Sudhakar Komakula, Nirosha, Nitya Shetty, Gemini Suresh,Drama,unknown,unknown,2019.0,5.5,Harinath Babu,140.0
149,The House Bunny,Anna Faris, Emma Stone, Kat Dennings, Katharine McPhee,Romance, Comedy, Action,2008.0,5.6,Fred Wolf,97.0
150,The Brown Bunny,Vincent Gallo, Chloë Sevigny, Cheryl Tiegs, Elizabeth Blake,Drama,unknown,unknown,2004.0,5.5,Vincent Gallo,93.0
151,The Bunny Game,Rodleen Getsic, Norwood Fisher, Gregg Gilmore, Paul Ill,Horror,unknown,unknown,2011.0,4.4,Adam Rehmeier,76.0
152,Bunny Lake Is Missing,Carol Lynley, Laurence Olivier, Keir Dullea, Martita Hunt,Mystery, Thriller, Action,1965.0,7.18,Bryan Coates,107.0
153,Papá de alquiler,Gordon Cormier, Kiawentiio, Ian Ousley, Dallas Liu,Comedy, Action, Adventure,2024.0,9.33333,unknown,90.0
